"protein","ism_activator_ratio","ism_repressor_ratio","isa_activator_ratio","isa_repressor_ratio","ism_defined","isa_defined"
"TFAP4",0.208333333333333,0.166666666666667,0.208333333333333,0.5,"unknown","unknown"
"TFAP4::ETV1",0.122314049586777,0.137190082644628,0.725619834710744,0.246280991735537,"unknown","activator"
"TFCP2",0.171428571428571,0.285714285714286,0.742857142857143,0.171428571428571,"unknown","activator"
"TFDP1",0.200604838709677,0.213709677419355,0.689516129032258,0.30241935483871,"unknown","activator"
"TFE3",0.3,0.197297297297297,0.886486486486487,0.113513513513514,"unknown","activator"
"TFEB",0.284452296819788,0.220848056537102,0.902826855123675,0.0971731448763251,"unknown","activator"
"TGIF1",0.163461538461538,0.153846153846154,0.365384615384615,0.567307692307692,"unknown","repressor"
"TGIF2",0.106796116504854,0.16504854368932,0.349514563106796,0.563106796116505,"unknown","repressor"
"THAP1",0.154078549848943,0.166163141993958,0.423967774420947,0.535750251762336,"unknown","repressor"
"THAP11",0.248175182481752,0.174371451743715,0.884022708840227,0.104622871046229,"unknown","activator"
"THRA",0.129151291512915,0.0959409594095941,0.59409594095941,0.339483394833948,"unknown","activator"
"THRB",0.0947204968944099,0.158385093167702,0.627329192546584,0.31832298136646,"unknown","activator"
"TP53",0.237113402061856,0.11340206185567,0.835051546391753,0.144329896907216,"unknown","activator"
"TP63",0.238636363636364,0.102272727272727,0.795454545454545,0.136363636363636,"unknown","activator"
"TP73",0.225,0.175,0.925,0.075,"unknown","activator"
"TRPS1",0.191011235955056,0.168539325842697,0.359550561797753,0.550561797752809,"unknown","repressor"
"USF1",0.228260869565217,0.180434782608696,0.858695652173913,0.126086956521739,"unknown","activator"
"USF2",0.204204204204204,0.144144144144144,0.918918918918919,0.0780780780780781,"unknown","activator"
